"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"2392-6252";"2393-0373";"485315";"International Journal of Social and Educational Innovation (IJSEIro)";"International Journal of Social and Educational Innovation (IJSEIro)"
"2163-940X";"2163-9418";"485316";"Open Journal of Respiratory Diseases";"Open Journal of Respiratory Diseases"
"1230-4999";;"485317";"The Polish Quarterly of International Affairs";"The Polish Quarterly of International Affairs"
"1804-3240";"2336-6702";"485324";"Studie z aplikované lingvistiky (SALi)";"Studies in Applied Linguistics (SALi)"
"2307-1842";;"485330";"Gumanitarnyi Vektor. Seriya Istoriya, Politilogiya";"Humanitarian Vector. Series History, Political Sciences"
"2226-5260";"2311-6986";"485357";"Horizon. Феноменологические исследования";"Horizon. Studies in Phenomenology"
"2211-3711";"2211-372X";"485361";"Translation Spaces";"Translation Spaces"
"2075-5279";"2223-2125";"485363";"Physical Education of Students";"Physical Education of Students"
"2352-1805";"2352-1813";"485364";"Translation and Translanguaging in Multilingual Contexts (TTMC)";"Translation and Translanguaging in Multilingual Contexts (TTMC)"
"2211-3770";"2211-3789";"485366";"Journal of Language and Sexuality";"Journal of Language and Sexuality"
"2194-8305";"2194-8313";"485369";"Pragmática Sociocultural (SOPRAG)";"Sociocultural Pragmatics (SOPRAG)"
"2162-1020";"2162-1039";"487352";"Proceedings (International Conference on Advanced Technologies for Communications)";"Proceedings (International Conference on Advanced Technologies for Communications)"
"2162-7339";;"487354";"International Conference on Transparent Optical Networks";"International Conference on Transparent Optical Networks"
"0736-5721";;"487355";"International Gas Research Conference Proceedings";"International Gas Research Conference Proceedings"
"1479-389X";"1479-3903";"487356";"International Journal of Reliability and Safety";"International Journal of Reliability and Safety"
"0308-437X";;"487357";"Acoustics Bulletin";"Acoustics Bulletin"
"0277-027X";;"487359";"PVP - American Society of Mechanical Engineers. Pressure Vessels and Piping Division";"PVP - American Society of Mechanical Engineers. Pressure Vessels and Piping Division"
"1552-2938";"2167-1281";"487360";"Annual Forum Proceedings (AHS International)";"Annual Forum Proceedings (AHS International)"
"2148-5046";;"487362";"Archives of Rheumatology";"Archives of Rheumatology"
"0140-0568";"1465-1920";"487363";"Catalysis";"Catalysis"
"1943-3875";"1943-3883";"487367";"Craniomaxillofacial Trauma & Reconstruction";"Craniomaxillofacial Trauma & Reconstruction"
"2387-5976";"2387-5984";"487369";"Tidsskrift for omsorgsforskning";"Journal of Care Research"
"0094-6354";"2162-5239";"487370";"AANA journal";"AANA journal"
"0044-8249";"1521-3757";"487378";"Angewandte Chemie";"Angewandte Chemie"
"2197-5752";;"487381";"Understanding Innovation";"Understanding Innovation"
"0012-978X";;"487382";"Economia & Lavoro";"Economia & Lavoro"
"1753-1942";"1753-1950";"487383";"International Journal of Technological Learning, Innovation and Development (IJTLID)";"International Journal of Technological Learning, Innovation and Development (IJTLID)"
"1643-5494";;"487385";"Współczesne Zarządzanie";"International Journal of Contemporary Management"
"2246-7483";"2246-7807";"487386";"NAVEIÑ REET: Nordic Journal of Law and Social Research (NNJLSR)";"NAVEIÑ REET: Nordic Journal of Law and Social Research (NNJLSR)"
"2109-5671";;"487388";"Mondes du tourisme";"Mondes du tourisme"
"2051-3771";"2050-7399";"487389";"International Journal of Supply Chain Management";"International Journal of Supply Chain Management"
"1751-4088";"1751-4096";"487390";"International journal of electric and hybrid vehicles";"International journal of electric and hybrid vehicles"
"0119-1144";;"487391";"Journal of Environmental Science and Management";"Journal of Environmental Science and Management"
"2214-3270";;"487393";"Supplements to Method & Theory in the Study of Religion";"Supplements to Method & Theory in the Study of Religion"
"1438-955X";;"487396";"Religion, Staat, Gesellschaft";"Journal for the Study of Beliefs and Worldviews"
"1939-7909";"2328-1030";"487398";"Journal of Spiritual Formation & Soul Care";"Journal of Spiritual Formation & Soul Care"
"1863-2939";;"487400";"Germanistik in Ireland";"Germanistik in Ireland"
"2309-8945";;"487404";"Ghanaian Journal of Economics (GJE)";"Ghanaian Journal of Economics (GJE)"
"1938-0259";"1938-0267";"487405";"International Journal of Grid and High Performance Computing";"International Journal of Grid and High Performance Computing"
"1108-1007";;"487406";"Synaxī";"Synaxī"
"1407-1932";;"487413";"Linguistica Lettica";"Linguistica Lettica"
"2214-1057";;"487431";"Advances in Historical Sociolinguistics";"Advances in Historical Sociolinguistics"
"2153-1900";"2153-1919";"487432";"Journal of Faculty Development";"Journal of Faculty Development"
"2196-9655";"2196-9663";"487433";"Journal of Social Ontology";"Journal of Social Ontology"
"2051-6614";"2051-6622";"487434";"Journal of Organizational Effectiveness";"Journal of Organizational Effectiveness"
"1000-6664";;"487435";"Zhongguo yuanlin";"Journal of Chinese Landscape Architecture"
"2373-566X";"2373-5678";"487471";"GeoHumanities";"GeoHumanities"
"1086-1653";;"487472";"The Independent Review: a journal of political economy";"The Independent Review: a journal of political economy"
"1573-3750";"1572-8315";"487474";"Journal of Experimental Criminology";"Journal of Experimental Criminology"
"1538-6473";"1745-9133";"487475";"Criminology & Public Policy";"Criminology & Public Policy"
"2154-8560";"2154-8579";"487477";"The International Journal of the Image";"The International Journal of the Image"
"1210-3209";;"487478";"Oecologia Montana";"Oecologia Montana"
"2034-8800";;"487479";"EAI Endorsed Transactions on Serious Games";"EAI Endorsed Transactions on Serious Games"
"2190-5010";"2190-5029";"487481";"History of Geo- and Space Sciences";"History of Geo- and Space Sciences"
"2231-4784";;"487482";"British Journal of Environment and Climate Change";"British Journal of Environment and Climate Change"
"1699-9495";"2340-4272";"487483";"Pecunia: Revista de la Facultad de Ciencias Económicas y Empresariales";"Pecunia: Revista de la Facultad de Ciencias Económicas y Empresariales"
"2194-5616";"2194-5624";"487484";"Moral Philosophy and Politics";"Moral Philosophy and Politics"
"1549-8417";"1549-8425";"487485";"Journal of patient safety";"Journal of patient safety"
"2040-2295";"2040-2309";"487486";"Journal of Healthcare Engineering";"Journal of Healthcare Engineering"
"1050-0545";"2157-3107";"487487";"Journal of american academy of audiology";"Journal of american academy of audiology"
"2049-8608";"2049-8675";"487489";"Critical and Radical Social Work";"Critical and Radical Social Work"
"0707-8552";"1918-7033";"487490";"Studies in Political Economy";"Studies in Political Economy"
"2039-4160";;"487491";"Bollettino del Museo Civico di Storia Naturale di Venezia";"Bulletin of the National History Museum of Venice"
"0035-3965";;"487493";"Revue Roumaine de Mathématiques Pures et Appliquées";"Romanian Journal of Pure and Applied Mathematics"
"2387-452X";;"487507";"Nordisk samtidspoesi";"Nordisk samtidspoesi"
"2295-3671";;"487509";"CLARA Architecture/Recherche";"CLARA Architecture/Recherche"
"0898-0721";"1930-7934";"487512";"Columbia Business Law Review";"Columbia Business Law Review"
"2164-6651";"2164-666X";"487513";"Games+Learning+Society Conference Proceedings";"Games+Learning+Society Conference Proceedings"
"1863-5954";"2197-5523";"487519";"Journal of Namibian Studies: History Politics Culture";"Journal of Namibian Studies: History Politics Culture"
"2330-2674";"2330-2682";"487522";"International journal of systems science: Operations & logistics";"International journal of systems science. Operations & logistics"
"2211-5366";"2211-5374";"487523";"MicroRNA";"MicroRNA"
"1877-8550";;"487524";"Central and Eastern Europe";"Central and Eastern Europe"
"1581-4572";;"487525";"Zbornik ... Elektrotehniške in računalniške konference ERK";"Proceedings of the ... Electrotechical and Computer Science Conference ERK"
"2057-3316";"2057-3324";"487526";"International Diabetes Nursing";"International Diabetes Nursing"
"2155-6334";"2155-6342";"487528";"International Journal of Social and Organizational Dynamics in IT";"International Journal of Social and Organizational Dynamics in IT"
"2038-3215";;"487529";"Archivio antropologico mediterraneo";"Archivio antropologico mediterraneo"
"2050-0688";"2050-0696";"487531";"Journal of Antitrust Enforcement";"Journal of Antitrust Enforcement"
"2325-3436";"2376-7057";"487532";"Communications in Cybernetics, Systems Science and Engineering - Proceedings (CCSSEP)";"Communications in Cybernetics, Systems Science and Engineering - Proceedings (CCSSEP)"
"2051-5057";"2051-5065";"487533";"International Journal of Health Research and Innovation";"International Journal of Health Research and Innovation"
"2002-0406";"2002-388X";"487535";"META - Historiskarkeologisk tidskrift";"META - Historiskarkeologisk tidskrift"
"2405-8343";;"487536";"Stockholm Studies in Child Law and Children’s Rights";"Stockholm Studies in Child Law and Children’s Rights"
"2239-5938";"2239-6101";"487541";"European Journal of Sustainable Development";"European Journal of Sustainable Development"
"1898-6196";"2084-4549";"487543";"Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S";"Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S"
"2380-2235";"2380-2243";"487547";"Soundboard Scholar";"Soundboard Scholar"
"2058-5225";"2058-1742";"487550";"European Heart Journal - Quality of Care and Clinical Outcomes";"European Heart Journal - Quality of Care and Clinical Outcomes"
"2313-1691";"2214-2584";"487551";"Algebraic Geometry";"Algebraic Geometry"
"2052-0336";"2052-0344";"487553";"Latin American Journal of Management for Sustainable Development";"Latin American Journal of Management for Sustainable Development"
"1441-2772";;"487555";"Critical Care and Resuscitation";"Critical Care and Resuscitation"
"2330-8176";"2330-8184";"489093";"Humanities and Social Sciences";"Humanities and Social Sciences"
"1580-0466";"2335-4216";"489096";"Economic and Business Review";"Economic and Business Review"
"1927-2677";"1927-2685";"489098";"Journal of Curriculum and Teaching";"Journal of Curriculum and Teaching"
"2058-8321";"2058-833X";"489099";"International Journal of Heritage Architecture";"International Journal of Heritage Architecture"
"1935-3812";"1935-3820";"489100";"Swarm Intelligence";"Swarm Intelligence"
"1598-2661";;"489105";"Sungkyun Journal of East Asian Studies";"Sungkyun Journal of East Asian Studies"
"2055-5636";"2055-5644";"489107";"Journal of Strategic Contracting and Negotiation";"Journal of Strategic Contracting and Negotiation"
"2332-8983";"2332-8975";"489108";"Journal of Nuclear Engineering and Radiation Science";"Journal of Nuclear Engineering and Radiation Science"
"0048-5705";"1451-9283";"489113";"Psihologija";"Psihologija"
"2381-5329";"2380-1190";"489114";"Manuscript Studies";"Manuscript Studies"
"1467-3037";"1467-3045";"489115";"Current Issues in Molecular Biology";"Current Issues in Molecular Biology"
"2291-2789";"2291-2797";"489120";"Canadian journal of gastroenterology & hepatology";"Canadian journal of gastroenterology & hepatology"
"0188-7009";"1661-4909";"489126";"Advances in Applied Clifford Algebras";"Advances in Applied Clifford Algebras"
"2096-0433";"2096-0662";"489128";"Computational Visual Media";"Computational Visual Media"
"1773-9578";"2116-0090";"489136";"Concurrences";"Concurrences"
"1648-2603";"2029-2872";"489137";"Viesoji Politika ir Administravimas";"Viesoji Politika ir Administravimas"
"1867-3139";"2196-4459";"489138";"Freiburger Zeitschrift für GeschlechterStudien";"Freiburger Zeitschrift für GeschlechterStudien"
"2090-1348";"2090-1356";"489141";"Epilepsy Research and Treatment";"Epilepsy Research and Treatment"
"1876-7354";"1876-7362";"489142";"Surveys in Operations Research and Management Science";"Surveys in Operations Research and Management Science"
"1936-6612";"1936-7317";"489143";"Advanced Science Letters";"Advanced Science Letters"
"0969-4331";;"489152";"Socialist history";"Socialist history"
"2364-9453";"2364-9461";"489251";"Arktos";"Arktos"
"2326-5523";"2326-5531";"489156";"Psychology of Consciousness";"Psychology of Consciousness"
"2409-2053";"2408-9273";"489157";"Cancers Review";"Cancers Review"
"2313-3716";"2312-6418";"489158";"Current Research in Agricultural Sciences";"Current Research in Agricultural Sciences"
"2312-5764";"2306-6253";"489160";"International Journal of Sustainable Energy and Environmental Research";"International Journal of Sustainable Energy and Environmental Research"
"2306-9864";"2306-6148";"489161";"The International Journal of Biotechnology";"The International Journal of Biotechnology"
"2312-0991";"2311-763X";"489162";"International Journal of Chemistry and Materials Research";"International Journal of Chemistry and Materials Research"
"2313-2558";"2313-0776";"489163";"International Journal of Chemical and Process Engineering Research";"International Journal of Chemical and Process Engineering Research"
"2332-6832";"2332-6840";"489176";"International Journal of Social Work and Human Services Practice";"International Journal of Social Work and Human Services Practice"
"2331-6179";"2331-6187";"489177";"Sociology and Anthropology";"Sociology and Anthropology"
"2332-3477";"2332-3485";"489178";"Universal Journal of Psychology";"Universal Journal of Psychology"
"2331-6063";"2331-6071";"489179";"Computer Science and Information Technology";"Computer Science and Information Technology"
"2331-9593";"2331-9615";"489180";"Universal Journal of Geoscience";"Universal Journal of Geoscience"
"2331-6535";"2331-6543";"489181";"Universal Journal of Physics and Application";"Universal Journal of Physics and Application"
"2331-8880";"2331-8945";"489182";"Universal Journal of Public Health";"Universal Journal of Public Health"
"2332-2268";"2332-2284";"489183";"Universal Journal of Agricultural Research";"Universal Journal of Agricultural Research"
"2332-3280";"2332-3299";"489184";"Universal Journal of Electrical and Electronic Engineering";"Universal Journal of Electrical and Electronic Engineering"
"2332-3353";"2332-3361";"489185";"Universal Journal of Mechanical Engineering";"Universal Journal of Mechanical Engineering"
"2331-5059";"2331-5075";"489186";"Advances in Economics and Business";"Advances in Economics and Business"
"2331-9712";"2331-9720";"489187";"Universal Journal of Accounting and Finance";"Universal Journal of Accounting and Finance"
"2331-950X";"2331-9577";"489188";"Universal Journal of Management";"Universal Journal of Management"
"1662-5250";"1661-9897";"489190";"Journal of Nano Research";"Journal of Nano Research"
"1663-3571";"1663-4144";"489191";"International Journal of Engineering Research in Africa";"International Journal of Engineering Research in Africa"
"2296-9837";"2296-9845";"489192";"Journal of Biomimetics, Biomaterials and Biomedical Engineering";"Journal of Biomimetics, Biomaterials and Biomedical Engineering"
"2296-3650";"2296-3642";"489193";"Diffusion Foundations";"Diffusion Foundations"
"2297-3370";"2297-3400";"489194";"Nano Hybrids and Composites";"Nano Hybrids and Composites"
"2234-9898";"2234-991X";"489195";"Advanced Engineering Forum";"Advanced Engineering Forum"
"1579-5853";"2255-0569";"489196";"Medicina balear";"Medicina balear"
"2001-9114";"2002-0287";"489197";"Organisation & Samhälle";"Organisation & Samhälle"
